branch,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1
Execution Types,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare
Clusters,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3
Scales,100,100,100,100,100,100,100,100,4000,4000,4000,4000,4000,4000,4000,4000,100000,100000,100000,100000,100000,100000,100000,100000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
groupby-orderby-limit,20.03,19.22,19,20.34,45.49,62.91,46.27,57.71,41.8,112.47,43.07,111.09,49.25,71.95,48.19,71.2,155.91,494.11,153.28,503.61,177.7,329.13,182.07,334.07,1461.38,2689.78,1421.43,2588.88,2023.13,3138.62,1961.48,3168.84
high-cpu-1,10.49,9.68,10,9.98,13.97,12.8,13.32,13.23,7.25,7.81,6.62,8.38,9.7,9.08,8.93,7.83,4.06,3.86,4.09,4.85,5.69,5.07,5.8,4.53,3.85,2.96,3.62,3.84,6.55,5.06,6.94,4.85
high-cpu-all,42.99,110.17,43.33,114.81,133.84,167.34,125.86,148.16,883.06,5121.04,872.3,5090.01,4484.11,6221.01,3524.62,5253.32,3156.6,17541.11,2781.13,15783.34,16554.63,22221.88,11417.91,16464.97,1612.48,3174.22,1581.37,2850.14,3858.3,3470.51,4031.47,4087.06
lastpoint,6.73,10.16,6.04,9.03,14.93,13.25,15.63,16.91,41.95,54.46,41.67,54.06,59.33,68.53,56.5,68.42,274.52,792.32,267.6,817.35,244.52,489.29,241.44,519.12,7775.79,10495.93,7552.36,10118.44,3675.05,6436.26,3628.43,5936.31
single-groupby-1-1-1,4.1,2.92,4.05,3.37,6.14,3.82,5.77,4.02,3.58,2.39,3.58,2.33,5.98,3.95,6,4.18,3.87,2.29,3.26,2.99,5.37,3.5,5.94,3.42,3.28,1.96,3.22,2.18,5.71,4.09,5.77,3.56
single-groupby-1-1-12,6.16,4.89,5.77,4.65,7.62,6.41,7.76,6.32,5.94,4.7,5.36,4.72,7.91,6.62,7.7,6.61,3.39,2.52,3.26,2.73,4.76,3.82,4.96,3.5,3.18,2.13,2.7,2.01,4.79,4.02,4.89,3.59
single-groupby-1-8-1,6.76,6.12,7.01,6.94,10.47,9.72,10.58,10.01,6.41,6.75,6.46,5.82,11.39,10.35,10.95,10.06,3.97,3.44,3.94,3.48,9.6,8.25,8.81,8.32,3.38,2.72,3.47,3.13,9.19,8.76,8.35,8.26
single-groupby-5-1-1,4.09,3,3.52,3.5,5.81,4.34,5.64,4.24,3.57,3.09,3.79,3.41,5.48,4.63,5.58,4.42,3.38,2.83,3.33,2.49,4.39,3.67,4.5,3.57,3.21,2.69,3.12,2.25,4.79,4.29,4.43,3.77
single-groupby-5-1-12,8.26,7.82,8.06,8.06,10.28,8.85,10.14,8.77,7.98,7.15,7.93,7.52,10.27,9.01,10.14,8.69,3.81,3.11,3.99,3.05,4.99,4.22,5.26,4.28,3.26,2.19,3.12,2.54,4.89,4.25,4.76,3.85
single-groupby-5-8-1,8.92,8.44,8.61,8.27,11.99,10.39,11.53,10.85,8.16,8.35,8.49,7.73,12.86,11.89,12.76,11.18,4.71,4.57,4.69,4.85,9.27,8.83,10.09,8.76,3.71,2.88,3.7,3.25,9.5,9.12,9.4,8.7
