branch,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1,ent_v2.2.1
Execution Types,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare,insert,insert,prepare,prepare
Clusters,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3
Scales,100,100,100,100,100,100,100,100,4000,4000,4000,4000,4000,4000,4000,4000,100000,100000,100000,100000,100000,100000,100000,100000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
groupby-orderby-limit,20.03,19.22,19.1,20.28,45.49,62.91,46.27,57.71,41.8,112.47,42.13,112.89,49.25,71.95,48.19,71.2,155.91,494.11,156.03,499.34,177.7,329.13,182.07,334.07,1461.38,2689.78,1447.8,2647.14,2023.13,3138.62,1961.48,3168.84
high-cpu-1,10.49,9.68,9.71,9.97,13.97,12.8,13.32,13.23,7.25,7.81,7.26,7.77,9.7,9.08,8.93,7.83,4.06,3.86,4.12,4.56,5.69,5.07,5.8,4.53,3.85,2.96,3.6,4.37,6.55,5.06,6.94,4.85
high-cpu-all,42.99,110.17,42.82,120.4,133.84,167.34,125.86,148.16,883.06,5121.04,854.3,5137.12,4484.11,6221.01,3524.62,5253.32,3156.6,17541.11,2783.86,15749.54,16554.63,22221.88,11417.91,16464.97,1612.48,3174.22,1613.02,2908.16,3858.3,3470.51,4031.47,4087.06
lastpoint,6.73,10.16,6.04,9.37,14.93,13.25,15.63,16.91,41.95,54.46,43.45,52.19,59.33,68.53,56.5,68.42,274.52,792.32,270.51,761.03,244.52,489.29,241.44,519.12,7775.79,10495.93,7701.04,9938.14,3675.05,6436.26,3628.43,5936.31
single-groupby-1-1-1,4.1,2.92,4.1,3.21,6.14,3.82,5.77,4.02,3.58,2.39,3.66,2.44,5.98,3.95,6,4.18,3.87,2.29,3.27,2.78,5.37,3.5,5.94,3.42,3.28,1.96,3.24,2.15,5.71,4.09,5.77,3.56
single-groupby-1-1-12,6.16,4.89,5.91,5.02,7.62,6.41,7.76,6.32,5.94,4.7,5.56,4.77,7.91,6.62,7.7,6.61,3.39,2.52,2.99,2.98,4.76,3.82,4.96,3.5,3.18,2.13,2.71,2.08,4.79,4.02,4.89,3.59
single-groupby-1-8-1,6.76,6.12,6.94,6.61,10.47,9.72,10.58,10.01,6.41,6.75,6.71,5.82,11.39,10.35,10.95,10.06,3.97,3.44,3.98,3.56,9.6,8.25,8.81,8.32,3.38,2.72,3.52,2.94,9.19,8.76,8.35,8.26
single-groupby-5-1-1,4.09,3,3.73,3.57,5.81,4.34,5.64,4.24,3.57,3.09,3.73,3.15,5.48,4.63,5.58,4.42,3.38,2.83,3.24,2.57,4.39,3.67,4.5,3.57,3.21,2.69,3.28,2.51,4.79,4.29,4.43,3.77
single-groupby-5-1-12,8.26,7.82,8.14,7.8,10.28,8.85,10.14,8.77,7.98,7.15,7.94,7.17,10.27,9.01,10.14,8.69,3.81,3.11,3.92,2.97,4.99,4.22,5.26,4.28,3.26,2.19,3.14,2.52,4.89,4.25,4.76,3.85
single-groupby-5-8-1,8.92,8.44,8.7,8.33,11.99,10.39,11.53,10.85,8.16,8.35,8.4,8.68,12.86,11.89,12.76,11.18,4.71,4.57,4.61,4.53,9.27,8.83,10.09,8.76,3.71,2.88,3.9,3.02,9.5,9.12,9.4,8.7
